trial,trialtype,target,response
1,2,0.98,0.3332427724708543
2,3,0.98,0.8105050372216223
3,4,-0.98,0.8030822865463001
4,1,-0.98,0.6216354171733323
5,2,0.98,0.15068236179429656
6,3,0.98,0.7967475568355824
7,4,-0.98,0.8098220479199683
8,1,-0.98,0.5421071721130314
9,2,0.98,0.17001883164876178
10,3,0.98,0.8481201541213319
11,4,-0.98,0.794330283731844
12,1,-0.98,0.6301672190615851
13,2,0.98,0.2536384700712218
14,3,0.98,0.7315083067617708
15,4,-0.98,0.7636029191129667
16,1,-0.98,0.5582540919708423
17,2,0.98,0.1982211972680497
18,3,0.98,0.7571799065302034
19,4,-0.98,0.8124186369780488
20,1,-0.98,0.7011721412654118
21,2,0.98,0.4293017354674716
22,3,0.98,0.7922758848318916
23,4,-0.98,0.8439784750939292
24,1,-0.98,0.566131568117826
25,2,0.98,0.4861671882891479
26,3,0.98,0.6674827019195624
27,4,-0.98,0.7340236621577256
28,1,-0.98,0.5068981967185553
29,2,0.98,0.34810589203853387
30,3,0.98,0.7474134356251162
31,4,-0.98,0.8136853889736255
32,1,-0.98,0.7561026255444231
33,2,0.98,0.09777552339264897
34,3,0.98,0.82519778970061
35,4,-0.98,0.8142219851809587
36,1,-0.98,0.6925526696277187
37,2,0.98,0.21269404832941416
38,3,0.98,0.8296215067416741
39,4,-0.98,0.8492183972401623
40,1,-0.98,0.5454502904935059
41,2,0.98,0.24338972057353642
42,3,0.98,0.6901744475998127
43,4,-0.98,0.8559579936187103
44,1,-0.98,0.5205020695126332
45,2,0.98,0.35072326077027005
46,3,0.98,0.66900337063855
47,4,-0.98,0.8326329130176889
48,1,-0.98,0.6178337578462044
49,2,0.98,0.24373408737565883
50,3,0.98,0.8134828256885748
51,4,-0.98,0.7813066606164996
52,1,-0.98,0.560414141667301
53,2,0.98,0.307363322024654
54,3,0.98,0.7645951281306582
55,4,-0.98,0.8388484484967006
56,1,-0.98,0.7081887234858465
57,2,0.98,0.16428329985902485
58,3,0.98,0.843981816602636
59,4,-0.98,0.8046697657772022
60,1,-0.98,0.5864009695423157
61,2,0.98,0.08738584785540152
62,3,0.98,0.7648653863884505
63,4,-0.98,0.8345584750577113
64,1,-0.98,0.6167582272753456
65,2,0.98,0.22522942966628692
66,3,0.98,0.8084488393231719
67,4,-0.98,0.8220167534845972
68,1,-0.98,0.5159629189272364
69,2,0.98,0.40929647825318893
70,3,0.98,0.6928841549067406
71,4,-0.98,0.6647195356106682
72,1,-0.98,0.555555266433052
73,2,0.98,0.23967677126599082
74,3,0.98,0.656192594664175
75,4,-0.98,0.7111572811253482
76,1,-0.98,0.4272806267828733
77,2,0.98,0.2830469280637667
78,3,0.98,0.7370982753296147
79,4,-0.98,0.8221576503224506
80,1,-0.98,0.5364264778456102
81,2,0.98,0.39583810921352175
82,3,0.98,0.8147086606328838
83,4,-0.98,0.7752206189540218
84,1,-0.98,0.5480818227774013
85,2,0.98,0.4329652444038578
86,3,0.98,0.8100109586909133
87,4,-0.98,0.6781862087172832
88,1,-0.98,0.659963530438026
89,2,0.98,-0.1593669147845343
90,3,0.98,0.720518005898589
91,4,-0.98,0.5488073073419641
92,1,-0.98,0.6176263924689875
93,2,0.98,0.29036374018731276
94,3,0.98,0.8878883239649235
95,4,-0.98,0.906541732398465
96,1,-0.98,0.23698967250887856
97,2,0.98,0.059979423038616066
98,3,0.98,0.7734309222339083
99,4,-0.98,0.7693495931315711
100,1,-0.98,0.4225524760062693
101,2,0.98,0.13935927586572444
102,3,0.98,0.7683342199456185
103,4,-0.98,0.7480415009698743
104,1,-0.98,0.6756931823803263
105,2,0.98,0.35076341891759866
106,3,0.98,0.802524811352788
107,4,-0.98,0.5048281507305088
108,1,-0.98,0.7085017649715897
109,2,0.98,0.2970314400618711
110,3,0.98,0.7784465120398248
111,4,-0.98,0.7226358644894246
112,1,-0.98,0.5851747692479123
113,2,0.98,0.4849091069625129
114,3,0.98,0.7673670638276937
115,4,-0.98,0.736193302150428
116,1,-0.98,0.6323490703374522
117,2,0.98,0.3490459711454728
118,3,0.98,0.8544395951928245
119,4,-0.98,0.6279565205934312
120,1,-0.98,0.6373501697184655
121,2,0.98,0.5929908933677535
122,3,0.98,0.889553041298484
123,4,-0.98,0.7546453023736458
124,1,-0.98,0.649860347301047
125,2,0.98,0.29336925148263987
126,3,0.98,0.816667579119025
127,4,-0.98,0.6802166484433467
128,1,-0.98,0.29348413088575315
129,2,0.98,0.438931838348057
130,3,0.98,0.8283312436756669
131,4,-0.98,0.7006533348681869
132,1,-0.98,0.5604099190908339
133,2,0.98,0.17333050900176217
134,3,0.98,0.7609647300555344
135,4,-0.98,0.8347989555066446
136,1,-0.98,0.559773606248592
137,2,0.98,0.48542928842958416
138,3,0.98,0.8320015361776906
139,4,-0.98,0.7257245125006521
140,1,-0.98,0.5263240597437281
141,2,0.98,0.778659262719069
142,3,0.98,0.7806792312606241
143,4,-0.98,0.7906631524905139
144,1,-0.98,0.655023251739884
145,2,0.98,0.46222326832677446
146,3,0.98,0.8171598062618293
147,4,-0.98,0.6286225829255393
148,1,-0.98,0.5200405929933967
149,2,0.98,0.5799094536959722
150,3,0.98,0.7221825832201602
151,4,-0.98,0.5808028527191424
152,1,-0.98,0.6066088879967506
153,2,0.98,0.49964715833718243
154,3,0.98,0.8315274280977706
155,4,-0.98,0.82182231657079
156,1,-0.98,0.4972952976386304
157,2,0.98,0.3130906560119369
158,3,0.98,0.8704294648557517
159,4,-0.98,0.6871589022464787
160,1,-0.98,0.6099149435085908
161,2,0.98,0.08260329872910649
162,3,0.98,0.6744084072441203
163,4,-0.98,0.7332636524032661
164,1,-0.98,0.23035858437360718
165,2,0.98,0.32261929583903065
166,3,0.98,0.8004019673316383
167,4,-0.98,0.7826276178215232
168,1,-0.98,0.5409413381578982
169,2,0.98,0.4533148922081897
170,3,0.98,0.767273781558867
171,4,-0.98,0.7400631962450896
172,1,-0.98,0.47713732420378846
173,2,0.98,0.18018001312494056
174,3,0.98,0.8410293662952719
175,4,-0.98,0.7370616068926954
176,1,-0.98,0.29319556803390767
177,2,0.98,0.5164216666200114
178,3,0.98,0.7909977672407162
179,4,-0.98,0.661354633321431
180,1,-0.98,0.49126803479389686
181,2,0.98,0.5457836320766906
182,3,0.98,0.7991068520356882
183,4,-0.98,0.590145536711919
184,1,-0.98,0.24369382421306296
185,2,0.98,0.6963274447151167
186,3,0.98,0.47021532471471034
187,4,-0.98,0.6555652214821787
188,1,-0.98,0.26840915474017724
189,2,0.98,0.5510813323279093
190,3,0.98,0.4980259326852757
191,4,-0.98,0.6944220763887502
192,1,-0.98,0.28619902233891514
193,2,0.98,0.6254892403264412
194,3,0.98,0.5770788254300004
195,4,-0.98,0.808857346120195
196,1,-0.98,0.12449960804071712
197,2,0.98,0.44788093397141365
198,3,0.98,0.18670612321637414
199,4,-0.98,0.7248305008513509
200,1,-0.98,0.3492610170742483
201,2,0.98,0.7505538912418089
202,3,0.98,0.5055597732338623
203,4,-0.98,0.7136019641867866
204,1,-0.98,0.40209227144450277
205,2,0.98,0.5872408746182003
206,3,0.98,0.47175152614039134
207,4,-0.98,0.6452323480992792
208,1,-0.98,0.5366150639525573
209,2,0.98,0.6627163276625959
210,3,0.98,0.3293682216070864
211,4,-0.98,0.6961670035447172
212,1,-0.98,0.3895780968270273
213,2,0.98,0.6931597252501118
214,3,0.98,0.3055076974888362
215,4,-0.98,0.7983265132005898
216,1,-0.98,0.45961921319378607
217,2,0.98,0.7681474018738214
218,3,0.98,0.5287821606806872
219,4,-0.98,0.6199532427388321
220,1,-0.98,0.1331642425320796
